name,latitude,longitude,place_type
Little Tibet,40.05578950000001,-105.28265040000001,restaurant
River and Woods,40.02084250000001,-105.26493429999998,restaurant
Just BE Kitchen,40.026812,-105.25331980000001,restaurant
The Corner Bar,40.0192804,-105.27927869999999,bar
Upslope Brewery Tasting Room,40.0202938,-105.21842159999999,bar
Bacco Trattoria and Mozzarella Bar,40.0580973,-105.28177869999999,restaurant
Bellota,40.0575678,-105.28192159999999,restaurant
Sanitas Brewing Company,40.0214286,-105.24738429999998,pub
Curry 'N' Kebob,40.030054899999996,-105.2579545,restaurant
Efrain's of Boulder,40.016869899999996,-105.261786,restaurant
Tangerine,40.03734359999999,-105.2589909,restaurant
Fringe Pizza,40.0287235,-105.25584129999999,restaurant
Corrida,40.0166144,-105.28166189999999,restaurant
Masas Boulder,40.016284600000006,-105.2832224,restaurant
Dagabi Cucina,40.0474322,-105.28057139999999,restaurant
Gemini,40.01782,-105.2809799,restaurant
Boulder Dushanbe Tea House,40.01544351038538,-105.27721992609825,restaurant
